000001 0000000103357 out (0xA1), 10000000b
000002 0000000103427 out (0xA0), 15
000003 0000000103453 out (0xA1), 11001111b
000004 0000000103520 out (0xA0), 11
000005 0000000103546 out (0xA1), 00001011b
000006 0000000103605 out (0xA0), 14
000007 0000000106990 out (0xA0), 8
000008 0000000107016 out (0xA1), 00000000b
000009 0000000107681 out (0xA0), 9
000010 0000000107707 out (0xA1), 00000000b
000011 0000000108399 out (0xA0), 10
000012 0000000108425 out (0xA1), 00000000b
000013 0000000108884 out (0xA0), 7
000014 0000000108910 out (0xA1), 10111000b
000015 0000000682585 out (0xA0), 15
000016 0000000682644 out (0xA1), 10001111b
000017 0000000682679 out (0xA0), 14
000018 0000000682799 out (0xA0), 15
000019 0000000682865 out (0xA1), 11001111b
000020 0000000682900 out (0xA0), 14
000021 0000000968959 out (0xA0), 15
000022 0000000969018 out (0xA1), 10001111b
000023 0000000969053 out (0xA0), 14
000024 0000000969173 out (0xA0), 15
000025 0000000969239 out (0xA1), 11001111b
000026 0000000969274 out (0xA0), 14
000027 0000001040550 out (0xA0), 15
000028 0000001040609 out (0xA1), 10001111b
000029 0000001040644 out (0xA0), 14
000030 0000001040764 out (0xA0), 15
000031 0000001040830 out (0xA1), 11001111b
000032 0000001040865 out (0xA0), 14
000033 0000001112142 out (0xA0), 15
000034 0000001112201 out (0xA1), 10001111b
000035 0000001112236 out (0xA0), 14
000036 0000001112356 out (0xA0), 15
000037 0000001112422 out (0xA1), 11001111b
000038 0000001112457 out (0xA0), 14
000039 0000001183742 out (0xA0), 15
000040 0000001183801 out (0xA1), 10001111b
000041 0000001183836 out (0xA0), 14
000042 0000001183956 out (0xA0), 15
000043 0000001184022 out (0xA1), 11001111b
000044 0000001184057 out (0xA0), 14
000045 0000001255334 out (0xA0), 15
000046 0000001255393 out (0xA1), 10001111b
000047 0000001255428 out (0xA0), 14
000048 0000001255548 out (0xA0), 15
000049 0000001255614 out (0xA1), 11001111b
000050 0000001255649 out (0xA0), 14
000051 0000001316193 out (0xA0), 7
000052 0000001316219 out (0xA1), 10111000b
000053 0000001316326 out (0xA0), 7
000054 0000001316352 out (0xA1), 10111000b
000055 0000001326525 out (0xA0), 7
000056 0000001326551 out (0xA1), 10111000b
000057 0000001326836 out (0xA0), 7
000058 0000001326862 out (0xA1), 10111000b
000059 0000001327190 out (0xA0), 7
000060 0000001327216 out (0xA1), 10111000b
000061 0000001327371 out (0xA0), 8
000062 0000001327397 out (0xA1), 00000000b
000063 0000001327679 out (0xA0), 7
000064 0000001327705 out (0xA1), 10111000b
000065 0000001328032 out (0xA0), 7
000066 0000001328058 out (0xA1), 10111000b
000067 0000001328213 out (0xA0), 9
000068 0000001328239 out (0xA1), 00000000b
000069 0000001328521 out (0xA0), 7
000070 0000001328547 out (0xA1), 10111000b
000071 0000001328874 out (0xA0), 7
000072 0000001328900 out (0xA1), 10111000b
